,,prompt_tokens,prompt_tokens,prompt_tokens,prompt_tokens,completion_tokens,completion_tokens,completion_tokens,completion_tokens,total_tokens,total_tokens,total_tokens,total_tokens,cached_tokens,cached_tokens,cached_tokens,cached_tokens,reasoning_tokens,reasoning_tokens,reasoning_tokens,reasoning_tokens
,,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
model,metric_name,,,,,,,,,,,,,,,,,,,,
gemma-4-e2b-it,context_relevance,2268.9880952380954,1481.0,1865.4887372407886,84,195.03571428571428,16.0,343.9600511417152,84,2464.0238095238096,1507.5,2184.274183858256,84,0.0,0.0,0.0,84,0.0,0.0,0.0,84
gemma-4-e2b-it,context_utilization,1881.1022727272727,1668.5,1031.9798518902483,88,398.4886363636364,437.5,298.0873124545809,88,2279.590909090909,1903.0,1168.396313612608,88,0.0,0.0,0.0,88,0.0,0.0,0.0,88
gemma-4-e2b-it,faithfulness_exp1,2281.2045454545455,1551.5,2294.252174051497,88,626.9545454545455,453.0,612.1581740808856,88,2908.159090909091,2046.5,2779.7764769411738,88,0.0,0.0,0.0,88,0.0,0.0,0.0,88
gemma-4-e2b-it,faithfulness_exp2,2301.5555555555557,1824.0,1679.50345145056,45,803.4,628.0,659.6920562587586,45,3104.9555555555557,2381.0,2227.4617939337018,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45
gemma-4-e2b-it,response_groundedness,2605.9893617021276,1771.0,1817.1020440787815,94,380.09574468085106,16.0,471.54680423458285,94,2986.0851063829787,1929.5,2194.862455139295,94,0.0,0.0,0.0,94,0.0,0.0,0.0,94
gpt-4.1-mini,answer_relevancy,673.5,671.0,17.15597814777393,30,34.53333333333333,34.0,2.23966335729792,30,708.0333333333333,705.0,17.854745980354654,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30
gpt-4.1-mini,context_relevance,1247.4761904761904,1300.5,326.1762209866317,84,10.785714285714286,10.0,1.2130954984947224,84,1258.2619047619048,1310.5,326.1899483225831,84,0.0,0.0,0.0,84,0.0,0.0,0.0,84
gpt-4.1-mini,context_utilization,1388.5795454545455,1492.5,164.18105520171116,88,64.75,64.5,11.158471860110307,88,1453.3295454545455,1552.5,161.78570483650955,88,257.45454545454544,0.0,517.6676897301933,88,0.0,0.0,0.0,88
gpt-4.1-mini,faithfulness_exp1,1130.3111111111111,951.0,607.1330055202155,90,353.34444444444443,235.5,317.37540813347545,90,1483.6555555555556,1211.0,893.2769134316148,90,311.46666666666664,0.0,574.375737336153,90,0.0,0.0,0.0,90
gpt-4.1-mini,faithfulness_exp2,1897.911111111111,1546.0,1148.4919721534886,45,513.0,433.0,364.852336257735,45,2410.911111111111,2086.0,1463.8505236381056,45,1285.6888888888889,1280.0,787.1340368191378,45,0.0,0.0,0.0,45
gpt-4.1-mini,response_groundedness,1281.159574468085,1284.5,388.49315470343845,94,10.457446808510639,10.0,0.8757779167721882,94,1291.6170212765958,1294.5,388.4334156800086,94,0.0,0.0,0.0,94,0.0,0.0,0.0,94
qwen35-2b,answer_relevancy,724.1,721.5,16.94076902541367,30,37.2,37.0,4.693355538087494,30,761.3,759.5,17.794129213950292,30,0.0,0.0,0.0,30,0.0,0.0,0.0,30
qwen35-2b,context_relevance,1308.8095238095239,1361.0,327.3539581005671,84,15.904761904761905,16.0,0.6134839796034317,84,1324.7142857142858,1377.0,327.5075487561389,84,0.0,0.0,0.0,84,0.0,0.0,0.0,84
qwen35-2b,context_utilization,1493.9431818181818,1600.0,166.0052871304914,88,91.14772727272727,84.0,20.33429794549739,88,1585.090909090909,1674.0,174.5533305433092,88,0.0,0.0,0.0,88,0.0,0.0,0.0,88
qwen35-2b,faithfulness_exp1,1179.2247191011236,814.0,620.7231807410573,89,335.4943820224719,209.0,303.1276405169156,89,1514.7191011235955,1174.0,892.8430329922606,89,0.0,0.0,0.0,89,0.0,0.0,0.0,89
qwen35-2b,faithfulness_exp2,1744.3111111111111,1622.0,436.1764041710138,45,535.6,482.0,338.2658583260967,45,2279.911111111111,2239.0,750.0585983842204,45,0.0,0.0,0.0,45,0.0,0.0,0.0,45
qwen35-2b,response_groundedness,1344.5,1349.5,391.89541478439435,94,16.0,16.0,0.0,94,1360.5,1365.5,391.89541478439435,94,0.0,0.0,0.0,94,0.0,0.0,0.0,94
