model,ar_score_mae,ar_score_pearson_r,ar_score_spearman_rho,ar_noncommittal_accuracy,ar_noncommittal_f1,ar_noncommittal_weighted_f1,ar_noncommittal_macro_f1,cr_combined_mae,cr_combined_pearson_r,cr_combined_spearman_rho,cr_combined_exact_accuracy,cr_combined_cohen_kappa,cr_avg_judge_cohen_kappa,cr_avg_judge_macro_f1,rg_combined_mae,rg_combined_pearson_r,rg_combined_spearman_rho,rg_combined_exact_accuracy,rg_combined_cohen_kappa,rg_avg_judge_cohen_kappa,rg_avg_judge_macro_f1,cu_per_chunk_accuracy,cu_per_chunk_f1,cu_final_mae,cu_final_pearson_r,cu_final_spearman_rho,ft_exp1_mae,ft_exp2_mae,ft_exp2_pearson_r,ft_exp2_spearman_rho,ft_exp2_verdict_accuracy,ft_exp2_verdict_f1
LLaDA2.1-mini,0.0629497407911642,0.9375586556413783,0.8869855394883204,0.7666666666666667,0.46153846153846156,0.7212220403709766,0.6563011456628478,0.13095238095238096,0.7715651581594409,0.7649874461392204,0.7380952380952381,0.759235668789809,0.6698460170553289,0.669893472067385,0.324468085106383,0.45234103227534084,0.46238528019872255,0.425531914893617,0.41730994152046774,0.3847181685810555,0.41055687253562945,0.7840909090909091,0.3448275862068966,0.3068181818125,-0.2725759796672748,-0.26133430140628167,2.6222222222222222,0.021194794365526074,0.9894448971838314,0.9842222256736839,0.9650793650793651,0.9688385269121813
Qwen3.6-35B-A3B-FP8,0.04696148940561916,0.9547200885853551,0.8638487208008899,0.9333333333333333,0.9,0.9333333333333333,0.925,0.1130952380952381,0.8827607739331054,0.8971386486985626,0.7619047619047619,0.8938388625592417,0.8513687616726757,0.7057071500686996,0.22872340425531915,0.46236132143137737,0.47360477285999913,0.6170212765957447,0.44964871194379397,0.427568396690625,0.6677503962175195,,,,,,3.022222222222222,0.0030864197530864213,0.9993959122198437,0.996068993615071,0.9942196531791907,0.9948979591836735
gemma-4-26b-a4b-it,0.04049304895507186,0.9745646696265455,0.9243604004449388,0.9666666666666667,0.9523809523809523,0.9670329670329669,0.9633699633699633,0.02976190476190476,0.9619444018254907,0.9643796231028858,0.9285714285714286,0.9492140266021766,0.9547247274195719,0.9308033028842873,0.12234042553191489,0.7129447510487779,0.7150510325746126,0.7872340425531915,0.7096357768556938,0.7006551194397175,0.8157517636684303,0.7727272727272727,0.6551724137931034,0.40909090904204537,0.6547418932046825,0.5570343485889183,0.8,0.003561253561253561,0.9991881370447864,0.9983623127240663,0.9942196531791907,0.9949238578680203
gemma-4-31b-it,0.0473556947078093,0.9645439338724504,0.9239154616240266,0.9666666666666667,0.9523809523809523,0.9670329670329669,0.9633699633699633,0.08333333333333333,0.9185894800388171,0.9409682758030071,0.8095238095238095,0.831413612565445,0.8873563218390804,0.7857295678219941,0.12234042553191489,0.7291247809905554,0.7253117507017478,0.7872340425531915,0.7240996350943995,0.7038058861777222,0.817201515240731,0.875,0.7755102040816326,0.4090909090318181,0.6547418932117366,0.6737948300842285,1.1555555555555554,0.003561253561253561,0.9991881370447864,0.9983623127240663,0.9942196531791907,0.9949238578680203
gemma-4-e2b-it,0.046246107519312886,0.9738300708395837,0.9225806451612902,0.9333333333333333,0.8888888888888888,0.9312169312169313,0.9206349206349206,0.13690476190476192,0.8673266581795949,0.8574074731060788,0.5952380952380952,0.8048229088168801,0.754058584084923,0.688594698377307,0.31382978723404253,0.4591513445437809,0.46834755750415324,0.3829787234042553,0.29659863945578235,0.3752546208754962,0.5147993768683423,0.8636363636363636,0.7142857142857143,0.38636363632386356,0.2978045091148477,0.23487634892457457,1.4666666666666666,0.04534866368199701,0.9680661462582106,0.9634822836960303,0.953757225433526,0.9607843137254902
gpt-4.1-mini,0.057566778350309836,0.9423100808592217,0.8380422691879867,0.9666666666666667,0.9523809523809523,0.9670329670329669,0.9633699633699633,0.05952380952380952,0.9347942697921966,0.9347799571441171,0.8095238095238095,0.9347536617842876,0.9093264248704662,0.8658988909906902,0.19680851063829788,0.6211774292611117,0.5898612904382893,0.6595744680851063,0.5685811696826646,0.5496955845943073,0.7186582398789862,0.9545454545454546,0.9047619047619048,0.38636363631704546,0.40534918026815997,0.3985902155476374,2.2888888888888888,0.0017094017094017083,0.9996351975317515,0.9985762084430838,0.9971098265895953,0.9974683544303797
qwen35-2b,0.0584730470176162,0.9540467337791706,0.8834260289210233,0.9,0.8421052631578947,0.8985879332477535,0.8844672657252888,0.19642857142857142,0.7267532856647883,0.6898670003326193,0.5238095238095238,0.7128446536650974,0.6837661558160938,0.6106813661060928,0.39893617021276595,0.2745972235712276,0.3307257504126275,0.23404255319148937,0.24506275783375764,0.22185498874189563,0.36404792312838297,0.9204545454545454,0.8372093023255814,0.38636363631704546,0.41105036919462506,0.4098631043196022,2.3333333333333335,0.05388993722327056,0.9066670599425408,0.8861384017202774,0.930635838150289,0.9411764705882353
